                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0814,                 3.4737,                 3.9516,                0.11536,                0.16758,                0.08442,                0.02118,                 2.8353,                 3.3198,                 4.0889,             0.00066242,             0.00066242,             0.00066242
                      2,                 2.5747,                 3.0814,                 3.1698,                0.24262,                0.44262,                0.19913,                0.07156,                 2.2358,                 2.8143,                 2.9914,              0.0011829,              0.0011829,              0.0011829
                      3,                 2.2414,                 2.7155,                  2.818,                 0.1479,                0.38319,                0.09715,                0.03854,                 1.9617,                 4.6391,                 2.8586,              0.0015567,              0.0015567,              0.0015567
                      4,                 1.9447,                 2.3622,                 2.5063,                0.68758,                0.49909,                0.58715,                0.34223,                 1.5732,                 2.4085,                 2.4541,                0.00134,                0.00134,                0.00134
                      5,                 1.7618,                 2.1193,                 2.2953,                0.91154,                0.55191,                0.66197,                 0.4379,                 1.4056,                 1.7825,                 2.1986,                0.00112,                0.00112,                0.00112
                      6,                 1.6399,                 1.9442,                 2.1605,                0.90369,                0.60291,                0.70236,                0.49371,                 1.3617,                 1.6699,                 2.0789,                 0.0009,                 0.0009,                 0.0009
                      7,                 1.5148,                 1.8214,                 2.0428,                0.90216,                0.62295,                 0.7297,                0.54711,                 1.2445,                 1.4627,                 1.9549,                0.00068,                0.00068,                0.00068
                      8,                 1.4728,                 1.7562,                 2.0098,                0.86745,                0.66667,                0.75968,                0.60157,                 1.0626,                 1.2901,                 1.7913,                0.00046,                0.00046,                0.00046
                      9,                 1.4052,                 1.6963,                 1.9471,                0.95316,                0.65027,                0.77353,                0.61878,                 1.0061,                 1.2446,                 1.7311,                0.00024,                0.00024,                0.00024
