                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0814,                 3.4737,                 3.9516,                0.11536,                0.16758,                0.08442,                0.02118,                 2.8353,                 3.3198,                 4.0889,             0.00066242,             0.00066242,             0.00066242
                      2,                 2.5747,                 3.0814,                 3.1698,                0.24262,                0.44262,                0.19913,                0.07156,                 2.2358,                 2.8143,                 2.9914,              0.0011829,              0.0011829,              0.0011829
                      3,                 2.2414,                 2.7155,                  2.818,                 0.1479,                0.38319,                0.09715,                0.03854,                 1.9617,                 4.6391,                 2.8586,              0.0015567,              0.0015567,              0.0015567
