                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0814,                 3.4737,                 3.9516,                0.11536,                0.16758,                0.08442,                0.02118,                 2.8353,                 3.3198,                 4.0889,             0.00066242,             0.00066242,             0.00066242
                      2,                 2.5692,                 3.0644,                 3.1638,                0.28583,                0.36066,                 0.1864,                0.06555,                 2.4164,                 3.0828,                 3.2786,              0.0012633,              0.0012633,              0.0012633
                      3,                 2.2472,                 2.7271,                 2.8345,                0.04856,                0.17486,                0.02753,                0.00597,                 2.7634,                 6.0514,                  3.791,              0.0017982,              0.0017982,              0.0017982
                      4,                 1.9467,                 2.3554,                 2.4876,                 0.6567,                0.50455,                0.51083,                0.25455,                 1.8049,                 2.4593,                 2.6159,               0.001703,               0.001703,               0.001703
                      5,                 1.7516,                 2.1314,                 2.2884,                0.89716,                0.55614,                0.66862,                0.40088,                 1.5577,                 1.9683,                 2.2531,               0.001604,               0.001604,               0.001604
                      6,                 1.6465,                 1.9326,                 2.1482,                0.89371,                0.59381,                0.68954,                 0.4901,                 1.3148,                 1.7658,                 2.0206,               0.001505,               0.001505,               0.001505
                      7,                 1.5309,                 1.8373,                 2.0442,                0.87841,                 0.6053,                 0.7302,                0.56293,                 1.1392,                 1.4452,                 1.8459,               0.001406,               0.001406,               0.001406
                      8,                 1.5049,                 1.7915,                 2.0197,                0.90777,                0.64544,                0.73446,                0.58691,                 1.1128,                 1.3941,                 1.7938,               0.001307,               0.001307,               0.001307
                      9,                 1.4309,                 1.7294,                 1.9452,                 0.9542,                0.64509,                0.76008,                0.61675,                 1.0234,                 1.3749,                 1.6791,               0.001208,               0.001208,               0.001208
                     10,                 1.3974,                 1.6417,                 1.9002,                0.84982,                0.68027,                0.76309,                 0.6051,                 1.1218,                 1.3347,                 1.8187,               0.001109,               0.001109,               0.001109
                     11,                 1.3377,                 1.5791,                 1.9282,                0.93646,                0.67118,                0.78056,                0.63959,                0.99617,                 1.1843,                 1.6537,                0.00101,                0.00101,                0.00101
                     12,                 1.2863,                 1.4767,                 1.8578,                0.92781,                0.70674,                0.80093,                0.65461,                0.96619,                 1.1208,                 1.5885,               0.000911,               0.000911,               0.000911
                     13,                 1.2425,                 1.4041,                 1.8157,                0.93478,                0.67942,                0.80097,                0.66072,                0.94356,                 1.0788,                 1.5479,               0.000812,               0.000812,               0.000812
                     14,                 1.2012,                 1.3265,                 1.7458,                0.96006,                0.67577,                0.79775,                0.66056,                 0.9319,                 1.0507,                 1.5184,               0.000713,               0.000713,               0.000713
                     15,                   1.16,                 1.2729,                 1.7107,                0.93763,                0.68463,                0.80783,                0.66918,                0.89161,                 1.0037,                 1.5159,               0.000614,               0.000614,               0.000614
                     16,                 1.1331,                 1.2394,                 1.6881,                0.96022,                0.69763,                0.81896,                0.68866,                0.88234,                0.97033,                  1.484,               0.000515,               0.000515,               0.000515
                     17,                  1.106,                 1.2109,                 1.6481,                 0.9448,                0.71709,                0.82502,                0.70126,                 0.8462,                0.93634,                 1.4467,               0.000416,               0.000416,               0.000416
                     18,                 1.0682,                 1.1579,                 1.6142,                0.92153,                0.72678,                0.82857,                0.70374,                0.81547,                 0.9134,                 1.4172,               0.000317,               0.000317,               0.000317
                     19,                 1.0531,                 1.1483,                 1.6001,                0.93361,                 0.7286,                0.83175,                0.71702,                0.79998,                0.90905,                 1.3991,               0.000218,               0.000218,               0.000218
                     20,                 1.0265,                 1.1136,                 1.5744,                0.95992,                0.72131,                0.84041,                0.71829,                0.79398,                0.87269,                 1.3949,               0.000119,               0.000119,               0.000119
