                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0814,                 3.4737,                 3.9516,                0.11536,                0.16758,                0.08442,                0.02118,                 2.8353,                 3.3198,                 4.0889,             0.00066242,             0.00066242,             0.00066242
                      2,                 2.5682,                 3.0814,                 3.1645,                0.10352,                0.36612,                0.09017,                0.02345,                 2.6337,                 5.0579,                 3.3934,              0.0012194,              0.0012194,              0.0012194
                      3,                 2.1249,                 2.7399,                 2.8855,                 0.1794,                0.42259,                0.13357,                 0.0495,                 2.0739,                 2.8251,                 2.8665,              0.0016665,              0.0016665,              0.0016665
                      4,                 1.9586,                 2.3273,                 2.6718,                0.84707,                0.58288,                0.67403,                0.55245,                 1.2571,                 1.5396,                 2.0137,               0.001505,               0.001505,               0.001505
                      5,                 1.7678,                 2.0377,                 2.4549,                0.87669,                0.59573,                0.68182,                0.49571,                 1.4452,                 1.6512,                 2.0871,                0.00134,                0.00134,                0.00134
                      6,                 1.6667,                 1.9042,                 2.3184,                0.92784,                0.62113,                0.70624,                 0.5456,                 1.2662,                 1.4338,                  1.936,               0.001175,               0.001175,               0.001175
                      7,                 1.5594,                  1.792,                 2.2093,                0.91227,                0.61566,                0.72938,                0.56955,                 1.1998,                 1.3809,                 1.9065,                0.00101,                0.00101,                0.00101
                      8,                 1.5195,                  1.699,                 2.1308,                0.89772,                0.65546,                0.74061,                0.57584,                 1.2128,                 1.3453,                 1.8519,               0.000845,               0.000845,               0.000845
                      9,                 1.4497,                 1.6274,                 2.0571,                0.88765,                0.66302,                0.76257,                0.61858,                 1.1121,                 1.2362,                 1.7989,                0.00068,                0.00068,                0.00068
                     10,                 1.4057,                 1.5523,                  2.004,                0.93735,                0.66667,                0.77188,                0.62744,                 1.1057,                  1.191,                 1.7773,               0.000515,               0.000515,               0.000515
                     11,                  1.358,                 1.5024,                 1.9596,                0.95236,                0.65551,                0.77293,                0.63669,                 1.0481,                 1.1599,                 1.7108,                0.00035,                0.00035,                0.00035
                     12,                 1.3121,                 1.4573,                 1.9133,                0.93227,                0.67692,                0.78055,                0.64029,                 1.0191,                 1.1267,                 1.6764,               0.000185,               0.000185,               0.000185
