                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0814,                 3.4737,                 3.9516,                0.11536,                0.16758,                0.08442,                0.02118,                 2.8353,                 3.3198,                 4.0889,             0.00066242,             0.00066242,             0.00066242
                      2,                 2.5766,                 3.0756,                 3.1746,                0.16566,                0.29144,                0.10527,                0.03044,                 2.5213,                 3.0106,                 3.4839,              0.0011411,              0.0011411,              0.0011411
                      3,                 2.2283,                  2.711,                 2.8129,                0.50619,                0.49545,                0.39335,                0.21485,                 1.8225,                 2.6925,                 2.7201,              0.0014312,              0.0014312,              0.0014312
                      4,                 1.9314,                  2.366,                 2.4781,                0.72669,                0.51002,                 0.5715,                 0.3059,                  1.785,                 2.4278,                 2.6439,              0.0011514,              0.0011514,              0.0011514
                      5,                 1.7279,                   2.09,                 2.2585,                0.83009,                0.56466,                0.67402,                0.33503,                 1.7616,                 1.7859,                 2.4913,             0.00086857,             0.00086857,             0.00086857
                      6,                 1.6011,                  1.919,                 2.1293,                0.90682,                0.60291,                0.70554,                0.50854,                 1.3258,                 1.5551,                 2.1313,             0.00058571,             0.00058571,             0.00058571
                      7,                  1.496,                 1.7961,                  2.025,                0.92704,                0.62488,                0.72743,                0.55903,                 1.1754,                 1.4417,                 1.9084,             0.00030286,             0.00030286,             0.00030286
