                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.283,                 1.5039,                 1.7574,                0.96237,                0.69869,                   0.82,                0.68651,                0.87525,                 1.0321,                 1.5009,             0.00066242,             0.00066242,             0.00066242
                      2,                 1.2728,                 1.4442,                  1.767,                0.93897,                0.68306,                0.79855,                0.67844,                0.90189,                 1.0541,                 1.5177,              0.0011411,              0.0011411,              0.0011411
                      3,                 1.2895,                 1.4627,                 1.7688,                0.90905,                0.66302,                0.78333,                0.66271,                0.89523,                 1.0893,                 1.5296,              0.0014312,              0.0014312,              0.0014312
                      4,                 1.2353,                 1.4044,                 1.7248,                0.96551,                0.68852,                0.82206,                0.69635,                0.87493,                0.98057,                 1.5014,              0.0011514,              0.0011514,              0.0011514
                      5,                 1.1992,                 1.3659,                 1.6936,                0.89093,                0.73953,                 0.8338,                0.70569,                0.83591,                0.90877,                 1.4409,             0.00086857,             0.00086857,             0.00086857
                      6,                 1.1541,                 1.2859,                 1.6538,                 0.9389,                0.71585,                0.83818,                0.71202,                0.81187,                0.88413,                 1.4146,             0.00058571,             0.00058571,             0.00058571
                      7,                 1.1011,                 1.2127,                 1.6054,                0.90624,                0.75701,                0.84419,                0.72704,                0.77985,                0.84814,                 1.3885,             0.00030286,             0.00030286,             0.00030286
